,count,mean,std,min,25%,50%,75%,max
ph,2785.0,7.080794504276835,1.5943195187088104,0.0,6.09309191422186,7.036752103833548,8.06206612314847,13.999999999999998
Hardness,3276.0,196.36949601730151,32.879761476294156,47.432,176.85053787752437,196.96762686363076,216.66745621487073,323.124
Solids,3276.0,22014.092526077104,8768.570827785927,320.942611274359,15666.69029696465,20927.833606520187,27332.762127438615,61227.19600771213
Chloramines,3276.0,7.122276793425786,1.5830848890397096,0.3520000000000003,6.1274207554913,7.130298973883081,8.114887032109028,13.127000000000002
Sulfate,2495.0,333.7757766108135,41.416840461672706,129.00000000000003,307.69949783471964,333.073545745888,359.9501703847443,481.0306423059972
Conductivity,3276.0,426.20511068255325,80.8240640511118,181.483753985146,365.7344141184627,421.8849682800544,481.7923044877282,753.3426195583046
Organic_carbon,3276.0,14.284970247677318,3.308161999126874,2.1999999999999886,12.065801333613067,14.218337937208588,16.557651543843434,28.30000000000001
Trihalomethanes,3114.0,66.39629294676803,16.175008422218657,0.7379999999999995,55.844535620979954,66.62248509808484,77.33747290873062,124.0
Turbidity,3276.0,3.966786169791058,0.7803824084854124,1.45,3.439710869612912,3.955027562993039,4.50031978728511,6.739
Potability,3276.0,0.3901098901098901,0.48784916967025516,0.0,0.0,0.0,1.0,1.0
